"icd_10_cm","description","ccs_diagnosis_category","ccs_description"
"S82423F","Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82423G","Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82423H","Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82423J","Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82423K","Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82423M","Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82423N","Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82423P","Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82423Q","Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82423R","Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82423S","Displaced transverse fracture of shaft of unspecified fibula, sequela",230,"Fracture of lower limb"
"S82424A","Nondisplaced transverse fracture of shaft of right fibula, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82424B","Nondisplaced transverse fracture of shaft of right fibula, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82424C","Nondisplaced transverse fracture of shaft of right fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82424D","Nondisplaced transverse fracture of shaft of right fibula, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82424E","Nondisplaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82424F","Nondisplaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82424G","Nondisplaced transverse fracture of shaft of right fibula, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82424H","Nondisplaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82424J","Nondisplaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82424K","Nondisplaced transverse fracture of shaft of right fibula, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82424M","Nondisplaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82424N","Nondisplaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82424P","Nondisplaced transverse fracture of shaft of right fibula, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82424Q","Nondisplaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82424R","Nondisplaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82424S","Nondisplaced transverse fracture of shaft of right fibula, sequela",230,"Fracture of lower limb"
"S82425A","Nondisplaced transverse fracture of shaft of left fibula, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82425B","Nondisplaced transverse fracture of shaft of left fibula, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82425C","Nondisplaced transverse fracture of shaft of left fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82425D","Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82425E","Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82425F","Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82425G","Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82425H","Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82425J","Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82425K","Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82425M","Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82425N","Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82425P","Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82425Q","Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82425R","Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82425S","Nondisplaced transverse fracture of shaft of left fibula, sequela",230,"Fracture of lower limb"
"S82426A","Nondisplaced transverse fracture of shaft of unspecified fibula, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82426B","Nondisplaced transverse fracture of shaft of unspecified fibula, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82426C","Nondisplaced transverse fracture of shaft of unspecified fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82426D","Nondisplaced transverse fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82426E","Nondisplaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82426F","Nondisplaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82426G","Nondisplaced transverse fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82426H","Nondisplaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82426J","Nondisplaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82426K","Nondisplaced transverse fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82426M","Nondisplaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82426N","Nondisplaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82426P","Nondisplaced transverse fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82426Q","Nondisplaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82426R","Nondisplaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82426S","Nondisplaced transverse fracture of shaft of unspecified fibula, sequela",230,"Fracture of lower limb"
"S82431A","Displaced oblique fracture of shaft of right fibula, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82431B","Displaced oblique fracture of shaft of right fibula, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82431C","Displaced oblique fracture of shaft of right fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
