"icd_10_cm","valid_flag","short_description","long_description"
"S65598A",1,"Oth injury of blood vessel of other finger, init encntr","Other specified injury of blood vessel of other finger, initial encounter"
"S65598D",1,"Oth injury of blood vessel of other finger, subs encntr","Other specified injury of blood vessel of other finger, subsequent encounter"
"S65598S",1,"Oth injury of blood vessel of other finger, sequela","Other specified injury of blood vessel of other finger, sequela"
"S65599",0,"Other specified injury of blood vessel of unspecified finger","Other specified injury of blood vessel of unspecified finger"
"S65599A",1,"Oth injury of blood vessel of unsp finger, init encntr","Other specified injury of blood vessel of unspecified finger, initial encounter"
"S65599D",1,"Oth injury of blood vessel of unsp finger, subs encntr","Other specified injury of blood vessel of unspecified finger, subsequent encounter"
"S65599S",1,"Oth injury of blood vessel of unspecified finger, sequela","Other specified injury of blood vessel of unspecified finger, sequela"
"S658",0,"Injury of other blood vessels at wrist and hand level","Injury of other blood vessels at wrist and hand level"
"S6580",0,"Unsp injury of other blood vessels at wrist and hand level","Unspecified injury of other blood vessels at wrist and hand level"
"S65801",0,"Unsp injury of blood vessels at wrs/hnd lv of right arm","Unspecified injury of other blood vessels at wrist and hand level of right arm"
"S65801A",1,"Unsp inj blood vessels at wrs/hnd lv of right arm, init","Unspecified injury of other blood vessels at wrist and hand level of right arm, initial encounter"
"S65801D",1,"Unsp inj blood vessels at wrs/hnd lv of right arm, subs","Unspecified injury of other blood vessels at wrist and hand level of right arm, subsequent encounter"
"S65801S",1,"Unsp inj blood vessels at wrs/hnd lv of right arm, sequela","Unspecified injury of other blood vessels at wrist and hand level of right arm, sequela"
"S65802",0,"Unsp injury of blood vessels at wrs/hnd lv of left arm","Unspecified injury of other blood vessels at wrist and hand level of left arm"
"S65802A",1,"Unsp injury of blood vessels at wrs/hnd lv of left arm, init","Unspecified injury of other blood vessels at wrist and hand level of left arm, initial encounter"
"S65802D",1,"Unsp injury of blood vessels at wrs/hnd lv of left arm, subs","Unspecified injury of other blood vessels at wrist and hand level of left arm, subsequent encounter"
"S65802S",1,"Unsp inj blood vessels at wrs/hnd lv of left arm, sequela","Unspecified injury of other blood vessels at wrist and hand level of left arm, sequela"
"S65809",0,"Unsp injury of blood vessels at wrs/hnd lv of unsp arm","Unspecified injury of other blood vessels at wrist and hand level of unspecified arm"
"S65809A",1,"Unsp injury of blood vessels at wrs/hnd lv of unsp arm, init","Unspecified injury of other blood vessels at wrist and hand level of unspecified arm, initial encounter"
"S65809D",1,"Unsp injury of blood vessels at wrs/hnd lv of unsp arm, subs","Unspecified injury of other blood vessels at wrist and hand level of unspecified arm, subsequent encounter"
"S65809S",1,"Unsp inj blood vessels at wrs/hnd lv of unsp arm, sequela","Unspecified injury of other blood vessels at wrist and hand level of unspecified arm, sequela"
"S6581",0,"Laceration of other blood vessels at wrist and hand level","Laceration of other blood vessels at wrist and hand level"
"S65811",0,"Laceration of blood vessels at wrs/hnd lv of right arm","Laceration of other blood vessels at wrist and hand level of right arm"
"S65811A",1,"Laceration of blood vessels at wrs/hnd lv of right arm, init","Laceration of other blood vessels at wrist and hand level of right arm, initial encounter"
"S65811D",1,"Laceration of blood vessels at wrs/hnd lv of right arm, subs","Laceration of other blood vessels at wrist and hand level of right arm, subsequent encounter"
"S65811S",1,"Lacerat blood vessels at wrs/hnd lv of right arm, sequela","Laceration of other blood vessels at wrist and hand level of right arm, sequela"
"S65812",0,"Laceration of blood vessels at wrs/hnd lv of left arm","Laceration of other blood vessels at wrist and hand level of left arm"
"S65812A",1,"Laceration of blood vessels at wrs/hnd lv of left arm, init","Laceration of other blood vessels at wrist and hand level of left arm, initial encounter"
"S65812D",1,"Laceration of blood vessels at wrs/hnd lv of left arm, subs","Laceration of other blood vessels at wrist and hand level of left arm, subsequent encounter"
"S65812S",1,"Lacerat blood vessels at wrs/hnd lv of left arm, sequela","Laceration of other blood vessels at wrist and hand level of left arm, sequela"
"S65819",0,"Laceration of blood vessels at wrs/hnd lv of unsp arm","Laceration of other blood vessels at wrist and hand level of unspecified arm"
"S65819A",1,"Laceration of blood vessels at wrs/hnd lv of unsp arm, init","Laceration of other blood vessels at wrist and hand level of unspecified arm, initial encounter"
"S65819D",1,"Laceration of blood vessels at wrs/hnd lv of unsp arm, subs","Laceration of other blood vessels at wrist and hand level of unspecified arm, subsequent encounter"
"S65819S",1,"Lacerat blood vessels at wrs/hnd lv of unsp arm, sequela","Laceration of other blood vessels at wrist and hand level of unspecified arm, sequela"
"S6589",0,"Oth injury of other blood vessels at wrist and hand level","Other specified injury of other blood vessels at wrist and hand level"
"S65891",0,"Inj oth blood vessels at wrist and hand level of right arm","Other specified injury of other blood vessels at wrist and hand level of right arm"
"S65891A",1,"Inj oth blood vessels at wrs/hnd lv of right arm, init","Other specified injury of other blood vessels at wrist and hand level of right arm, initial encounter"
"S65891D",1,"Inj oth blood vessels at wrs/hnd lv of right arm, subs","Other specified injury of other blood vessels at wrist and hand level of right arm, subsequent encounter"
"S65891S",1,"Inj oth blood vessels at wrs/hnd lv of right arm, sequela","Other specified injury of other blood vessels at wrist and hand level of right arm, sequela"
"S65892",0,"Inj oth blood vessels at wrist and hand level of left arm","Other specified injury of other blood vessels at wrist and hand level of left arm"
"S65892A",1,"Inj oth blood vessels at wrs/hnd lv of left arm, init","Other specified injury of other blood vessels at wrist and hand level of left arm, initial encounter"
"S65892D",1,"Inj oth blood vessels at wrs/hnd lv of left arm, subs","Other specified injury of other blood vessels at wrist and hand level of left arm, subsequent encounter"
"S65892S",1,"Inj oth blood vessels at wrs/hnd lv of left arm, sequela","Other specified injury of other blood vessels at wrist and hand level of left arm, sequela"
"S65899",0,"Inj oth blood vessels at wrist and hand level of unsp arm","Other specified injury of other blood vessels at wrist and hand level of unspecified arm"
"S65899A",1,"Inj oth blood vessels at wrs/hnd lv of unsp arm, init","Other specified injury of other blood vessels at wrist and hand level of unspecified arm, initial encounter"
"S65899D",1,"Inj oth blood vessels at wrs/hnd lv of unsp arm, subs","Other specified injury of other blood vessels at wrist and hand level of unspecified arm, subsequent encounter"
"S65899S",1,"Inj oth blood vessels at wrs/hnd lv of unsp arm, sequela","Other specified injury of other blood vessels at wrist and hand level of unspecified arm, sequela"
"S659",0,"Injury of unspecified blood vessel at wrist and hand level","Injury of unspecified blood vessel at wrist and hand level"
"S6590",0,"Unsp injury of unsp blood vessel at wrist and hand level","Unspecified injury of unspecified blood vessel at wrist and hand level"
"S65901",0,"Unsp injury of unsp blood vessel at wrs/hnd lv of right arm","Unspecified injury of unspecified blood vessel at wrist and hand level of right arm"
"S65901A",1,"Unsp inj unsp blood vess at wrs/hnd lv of right arm, init","Unspecified injury of unspecified blood vessel at wrist and hand level of right arm, initial encounter"
"S65901D",1,"Unsp inj unsp blood vess at wrs/hnd lv of right arm, subs","Unspecified injury of unspecified blood vessel at wrist and hand level of right arm, subsequent encounter"
"S65901S",1,"Unsp inj unsp blood vess at wrs/hnd lv of right arm, sequela","Unspecified injury of unspecified blood vessel at wrist and hand level of right arm, sequela"
"S65902",0,"Unsp injury of unsp blood vessel at wrs/hnd lv of left arm","Unspecified injury of unspecified blood vessel at wrist and hand level of left arm"
"S65902A",1,"Unsp inj unsp blood vess at wrs/hnd lv of left arm, init","Unspecified injury of unspecified blood vessel at wrist and hand level of left arm, initial encounter"
"S65902D",1,"Unsp inj unsp blood vess at wrs/hnd lv of left arm, subs","Unspecified injury of unspecified blood vessel at wrist and hand level of left arm, subsequent encounter"
"S65902S",1,"Unsp inj unsp blood vess at wrs/hnd lv of left arm, sequela","Unspecified injury of unspecified blood vessel at wrist and hand level of left arm, sequela"
"S65909",0,"Unsp injury of unsp blood vessel at wrs/hnd lv of unsp arm","Unspecified injury of unspecified blood vessel at wrist and hand level of unspecified arm"
"S65909A",1,"Unsp inj unsp blood vess at wrs/hnd lv of unsp arm, init","Unspecified injury of unspecified blood vessel at wrist and hand level of unspecified arm, initial encounter"
